timestamp,open,high,low,close,volume
2026-03-16 04:40:00+00:00,1.07935,1.07951,1.07935,1.07935,203
2026-03-16 04:45:00+00:00,1.07935,1.07939,1.07915,1.07937,267
2026-03-16 04:50:00+00:00,1.07937,1.0796,1.07924,1.0796,209
2026-03-16 04:55:00+00:00,1.0796,1.07996,1.07953,1.07973,244
2026-03-16 05:00:00+00:00,1.07973,1.07979,1.07972,1.07977,369
2026-03-16 05:05:00+00:00,1.07977,1.07977,1.07961,1.07969,170
2026-03-16 05:10:00+00:00,1.07969,1.07975,1.07967,1.07974,326
2026-03-16 05:15:00+00:00,1.07974,1.07997,1.07953,1.0799,480
2026-03-16 05:20:00+00:00,1.0799,1.07999,1.07974,1.07988,115
2026-03-16 05:25:00+00:00,1.07988,1.07996,1.07969,1.07993,163
2026-03-16 05:30:00+00:00,1.07993,1.08008,1.07982,1.08005,185
2026-03-16 05:35:00+00:00,1.08005,1.08045,1.08003,1.08039,257
2026-03-16 05:40:00+00:00,1.08039,1.08058,1.08032,1.08051,269
2026-03-16 05:45:00+00:00,1.08051,1.08061,1.08045,1.08053,298
2026-03-16 05:50:00+00:00,1.08053,1.08063,1.08046,1.08061,232
2026-03-16 05:55:00+00:00,1.08061,1.08062,1.08045,1.08058,174
2026-03-16 06:00:00+00:00,1.08058,1.08069,1.08055,1.08056,205
2026-03-16 06:05:00+00:00,1.08056,1.08058,1.08035,1.08038,392
2026-03-16 06:10:00+00:00,1.08038,1.08059,1.08031,1.08056,192
2026-03-16 06:15:00+00:00,1.08056,1.081,1.08047,1.08076,195
2026-03-16 06:20:00+00:00,1.08076,1.08104,1.08067,1.08082,285
2026-03-16 06:25:00+00:00,1.08082,1.08086,1.08068,1.08072,177
2026-03-16 06:30:00+00:00,1.08072,1.0808,1.0807,1.08074,123
2026-03-16 06:35:00+00:00,1.08074,1.0808,1.08043,1.08044,114
2026-03-16 06:40:00+00:00,1.08044,1.08054,1.08041,1.08047,280
2026-03-16 06:45:00+00:00,1.08047,1.08068,1.08036,1.08036,350
2026-03-16 06:50:00+00:00,1.08036,1.08042,1.07998,1.08011,428
2026-03-16 06:55:00+00:00,1.08011,1.08028,1.07998,1.08018,254
2026-03-16 07:00:00+00:00,1.08018,1.08054,1.08017,1.08027,330
2026-03-16 07:05:00+00:00,1.08027,1.08036,1.07992,1.08017,105
2026-03-16 07:10:00+00:00,1.08017,1.08037,1.08016,1.08018,214
2026-03-16 07:15:00+00:00,1.08018,1.08042,1.08006,1.08019,293
2026-03-16 07:20:00+00:00,1.08019,1.08033,1.0801,1.08018,392
2026-03-16 07:25:00+00:00,1.08018,1.0805,1.0799,1.08013,247
2026-03-16 07:30:00+00:00,1.08013,1.08021,1.08012,1.08017,187
2026-03-16 07:35:00+00:00,1.08017,1.08021,1.07999,1.08009,170
2026-03-16 07:40:00+00:00,1.08009,1.08047,1.08006,1.0803,238
2026-03-16 07:45:00+00:00,1.0803,1.08038,1.08025,1.08027,420
2026-03-16 07:50:00+00:00,1.08027,1.08045,1.0802,1.08021,88
2026-03-16 07:55:00+00:00,1.08021,1.08033,1.08013,1.08027,255
2026-03-16 08:00:00+00:00,1.08027,1.0803,1.08016,1.08023,267
2026-03-16 08:05:00+00:00,1.08023,1.08028,1.07987,1.07987,386
2026-03-16 08:10:00+00:00,1.07987,1.07998,1.07973,1.07996,189
